start_x,end_x,start_v,end_v,accel,inc,gravity,step_time
819371.149999998,819890.721038187,29.4090566189496,29.4090566189496,0,0.0154641,9.792804,17.6670419905465
819890.721038187,819891.639999998,29.4090566189496,29.3934286772661,-0.5,0.0154641,9.792804,0.0312558833670664
819891.639999998,819892.834152208,29.3934286772661,29.4340271425007,1,0.3053492,9.7928007,0.0405984652346376
819892.834152208,820404.189999998,29.4340271425007,29.4340271425007,0,0.3053492,9.7928007,17.3729488429881
820404.189999998,820907.593152319,29.4340271425007,29.4340271425007,0,0.3042664,9.7927975,17.1027617078643
820907.593152319,820909.779999997,29.4340271425007,29.3968553785354,-0.5,0.3042664,9.7927975,0.0743435279306155
820909.779999997,820910.152010083,29.3968553785354,29.4095074137299,1,0.2928476,9.7927944,0.0126520351944563
820910.152010083,821415.859999998,29.4095074137299,29.4095074137299,0,0.2928476,9.7927944,17.1953913678315
821415.859999998,821416.84291442,29.4095074137299,29.4429101001207,1,0.2885162,9.7927912,0.033402686390783
821416.84291442,821921.749999998,29.4429101001207,29.4429101001207,0,0.2885162,9.7927912,17.1486814265451
821921.749999998,822426.341153025,29.4429101001207,29.4429101001207,0,0.2885162,9.7927912,17.1379510826758
822426.341153025,822427.399999998,29.4429101001207,29.4249232486947,-0.5,0.2306486,9.792788,0.0359737028520328
822427.399999998,822428.676205922,29.4249232486947,29.4682629287893,1,0.2306486,9.792788,0.0433396800946042
822428.676205922,822933.019999998,29.4682629287893,29.4682629287893,0,0.2306486,9.792788,17.1148124779031
822933.019999998,822933.348598731,29.4682629287893,29.4794117564736,1,0.0011574,9.7927848,0.0111488276843517
822933.348598731,823437.289999998,29.4794117564736,29.4794117564736,0,0.0011574,9.7927848,17.0946898611569
823437.289999998,823914.148645435,29.4794117564736,29.4794117564736,0,0.0011574,9.7927848,16.1759891743102
823914.148645435,823917.289999998,29.4794117564736,29.4260830377673,-0.5,-0.5064299,9.7927817,0.106657437412579
823917.289999998,824383.995434173,29.4260830377673,29.4260830377673,0,-0.6766088,9.7927785,15.8602636163369
824383.995434173,824386.419999998,29.4260830377673,29.3848565952034,-0.5,-0.6766088,9.7927785,0.082452885127779
824386.419999998,824387.012102716,29.3848565952034,29.4049996184007,1,-0.3178451,9.7927754,0.0201430231972672
